author,reviewedPaper 
Andrea Giachetti 0001,Enhancing Power Quality in Microgrids With a New Online Control Strategy for DSTATCOM Using Reinforcement Learning Algorithm.
Andrea Giachetti 0001,Large Scale Comprehensive 3D Shape Retrieval.
Andrea Giachetti 0001,RETRIEVAL 3D - An On-line Content-Based Retrieval Performance Evaluation Tool.
Fabio Marco Caputo,TreeSha - 3D Shape Retrieval with a Tree Graph Representation based on the Autodiffusion Function Topology.
Fabio Marco Caputo,Towards Recognizing of 3D Models Using A Single Image.
Fabio Marco Caputo,Cost-driven thread coarsening for GPU kernels.
Fabio Marco Caputo,Energy-Efficient Signalling in QoS Constrained Heterogeneous Networks.
Alessandro Carcangiu,"Towards automated, high resolution 3D scanning of large surfaces for cultural heritage documentation."
Alessandro Carcangiu,VW-SLP - auto-vectorization with adaptive vector width.
Alessandro Carcangiu,Secure High Capacity Data Hiding for 3d Meshes.
Alessandro Carcangiu,"Enhanced Human Face Recognition Using LBPH Descriptor, Multi-KNN, and Back-Propagation Neural Network."
Riccardo Scateni,"Crosstalk-included eye-diagram estimation for high-speed silicon, organic, and glass interposer channels on 2.5D/3D IC."
Riccardo Scateni,Architectural support for convolutional neural networks on modern CPUs.
Lucio Davide Spano,3D GrabCut - Interactive Foreground Extraction for Reconstructed 3D Scenes.
Lucio Davide Spano,A Framework Based on Compressed Manifold Modes for Robust Local Spectral Analysis.
Lucio Davide Spano,Retrieval and Classification on Textured 3D Models.
Lucio Davide Spano,Enhanced Transmit Antenna Selection Scheme for Secure Throughput Maximization Without CSI at the Transmitter.
Andrea Giachetti 0001,Fisher Encoding of Adaptive Fast Persistent Feature Histograms for Partial Retrieval of 3D Pottery Objects.
Andrea Giachetti 0001,Directed Curvature Histograms for Robotic Grasping.
Francesco Fornasa,3D shape template generation from RGB-D images capturing a moving and deforming object.
Francesco Fornasa,Compiler assisted coalescing.
Federico Parezzan,Recognition of Geometric Patterns Over 3D Models.
Federico Parezzan,RETRIEVAL 3D - An On-line Content-Based Retrieval Performance Evaluation Tool.
Federico Parezzan,Automatic Extraction of Complex 3D Structures Application to the Inner Ear Segmentation from Cone Beam CT Digital Volumes.
Alessandro Saletti,Data motifs - a lens towards fully understanding big data and AI workloads.
Alessandro Saletti,GSHOT - a Global Descriptor from SHOT to Reduce Time and Space Requirements.
Alessandro Saletti,Depth Assisted Composition of Synthetic and Real 3D Scenes.
Alessandro Saletti,Automatic annotation of tasks in structured code.
Leonardo Zambaldo,Towards concurrency race debugging - an integrated approach for constraint solving and dynamic slicing.
Leonardo Zambaldo,GeoTopo - Dynamic 3D Facial Expression Retrieval Using Topological and Geometric Information.
Leonardo Zambaldo,Unstructured Point Cloud Semantic Labeling Using Deep Segmentation Networks.
Leonardo Zambaldo,Data motifs - a lens towards fully understanding big data and AI workloads.
Leonardo Zambaldo,Electrical investigation of Cu pumping in through-silicon vias for BEOL reliability in 3D integration.
Luisa Zanini,Retrieval of Objects Captured with Kinect One Camera.
Luisa Zanini,Electrical investigation of Cu pumping in through-silicon vias for BEOL reliability in 3D integration.
Luisa Zanini,Secure High Capacity Data Hiding for 3d Meshes.
Luisa Zanini,Enhanced Transmit Antenna Selection Scheme for Secure Throughput Maximization Without CSI at the Transmitter.
Felix Achilles,Hypart - a hybrid technique for practical memory bandwidth partitioning on commodity servers.
Felix Achilles,Performing Image-like Convolution on Triangular Meshes.
Felix Achilles,Retrieval and Classification on Textured 3D Models.
Felix Achilles,Energy-Efficient WiFi Offloading and Network Management in Heterogeneous Wireless Networks.
Felix Achilles,Computing in 3D.
Alexandru Eugen Ichim,Enhanced Forensic Speaker Verification Using a Combination of DWT and MFCC Feature Warping in the Presence of Noise and Reverberation Conditions.
Alexandru Eugen Ichim,Visualization of Recovery Situation in Disaster Area by Using Web Reservation Data.
Alexandru Eugen Ichim,3D Volume Matching for Mesh Animation of Moving Actors.
Alexandru Eugen Ichim,Enhancing decentralized service discovery in open service-oriented multi-agent systems.
Alexandru Eugen Ichim,Shape Retrieval of Low-Cost RGB-D Captures.
Federico Tombari,Enhanced VANET broadcast throughput capacity via a dynamic backbone architecture.
Federico Tombari,Shadow Detection on 3D Point Cloud.
Federico Tombari,Electrical investigation of Cu pumping in through-silicon vias for BEOL reliability in 3D integration.
Nassir Navab,Truncated Signed Distance Function Volume Integration Based on Voxel-Level Optimization for 3D Reconstruction.
Santiago Velasco-Forero,Implementation of 3D Object Reconstruction Using Multiple Kinect Cameras.
Zorah Lähner,A Descriptor for Voxel Shapes Based on the Skeleton Cut Space.
Emanuele Rodolà,GSHOT - a Global Descriptor from SHOT to Reduce Time and Space Requirements.
Emanuele Rodolà,Fisher Encoding of Adaptive Fast Persistent Feature Histograms for Partial Retrieval of 3D Pottery Objects.
Michael M. Bronstein,Energy-Efficient Tracking and Localization of Objects in Wireless Sensor Networks.
Michael M. Bronstein,Performance extraction and suitability analysis of multi- and many-core architectures for next generation sequencing secondary analysis.
Michael M. Bronstein,"A portable, automatic data qantizer for deep neural networks."
Michael M. Bronstein,Scalability of Non-Rigid 3D Shape Retrieval.
Daniel Cremers,"Towards automated, high resolution 3D scanning of large surfaces for cultural heritage documentation."
Oliver Burghard,A Framework Based on Compressed Manifold Modes for Robust Local Spectral Analysis.
Oliver Burghard,2D Scene Sketch-Based 3D Scene Retrieval.
Luca Cosmo,Revealing parallel scans and reductions in recurrences through function reconstruction.
Luca Cosmo,Shadow Detection on 3D Point Cloud.
Luca Cosmo,Similarity of Deforming Meshes Based on Spatio-temporal Segmentation.
Luca Cosmo,Shape Retrieval and 3D Gestural Interaction.
Alexander Dieckmann,Coulomb Shapes - Using Electrostatic Forces for Deformation-invariant Shape Representation.
Reinhard Klein,3D Hand Gesture Recognition Using a Depth and Skeletal Dataset.
Reinhard Klein,Towards an Observer-oriented Theory of Shape Comparison.
Reinhard Klein,High-Fidelity Time-of-Flight Edge Sampling Using Superpixels.
Reinhard Klein,Energy-Efficient Signalling in QoS Constrained Heterogeneous Networks.
Reinhard Klein,E-PUR - an energy-efficient processing unit for recurrent neural networks.
Yusuf Sahillioglu,Automatic annotation of tasks in structured code.
Yusuf Sahillioglu,On-the-fly workload partitioning for integrated CPU/GPU architectures.
Pedro B. Pascoal,2D Scene Sketch-Based 3D Scene Retrieval.
Pedro F. Proença,ComP-net - command processor networking for efficient intra-kernel communications on GPUs.
Pedro F. Proença,VW-SLP - auto-vectorization with adaptive vector width.
Filipe Gaspar,Edge-based LBP Description of Surfaces with Colorimetric Patterns.
Miguel Sales Dias,ComP-net - command processor networking for efficient intra-kernel communications on GPUs.
Miguel Sales Dias,Partial 3D Object Retrieval combining Local Shape Descriptors with Global Fisher Vectors.
Alfredo Ferreira,3D Hand Gesture Recognition Using a Depth and Skeletal Dataset.
Alfredo Ferreira,Truncated Signed Distance Function Volume Integration Based on Voxel-Level Optimization for 3D Reconstruction.
Alfredo Ferreira,3D Volume Matching for Mesh Animation of Moving Actors.
Atsushi Tatsuma,Enhanced Industrial Machinery Condition Monitoring Methodology Based on Novelty Detection and Multi-Modal Analysis.
Masaki Aono,Hypart - a hybrid technique for practical memory bandwidth partitioning on commodity servers.
Masaki Aono,Randomized Sub-Volume Partitioning for Part-Based 3D Model Retrieval.
K. Berker Logoglu,Maximizing system utilization via parallelism management for co-located parallel applications.
K. Berker Logoglu,Partial 3D Object Retrieval combining Local Shape Descriptors with Global Fisher Vectors.
Sinan Kalkan,ComP-net - command processor networking for efficient intra-kernel communications on GPUs.
Sinan Kalkan,Energy-Efficient Resource Allocation for Massive MIMO Amplify-and-Forward Relay Systems.
Sinan Kalkan,LightNet - A Lightweight 3D Convolutional Neural Network for Real-Time 3D Object Recognition.
Alptekin Temizel,Truncated Signed Distance Function Volume Integration Based on Voxel-Level Optimization for 3D Reconstruction.
Bo Li 0013,An Edit Distance for Reeb Graphs.
Bo Li 0013,Scalability of Non-Rigid 3D Shape Retrieval.
Bo Li 0013,Non-rigid 3D Shape Retrieval.
Henry Johan,The Canonically Posed 3D Objects Dataset.
Henry Johan,Unstructured Point Cloud Semantic Labeling Using Deep Segmentation Networks.
Henry Johan,3D-Xpath - high-density managed DRAM architecture with cost-effective alternative paths for memory transactions.
Yijuan Lu,Geodesic-based 3D Shape Retrieval Using Sparse Autoencoders.
Yijuan Lu,Range Scans based 3D Shape Retrieval.
Yijuan Lu,Stencil codes on a vector length agnostic architecture.
Yijuan Lu,Bag of Compact HKS-based Feature Descriptors.
Yijuan Lu,Log(graph) - a near-optimal high-performance graph representation.
Viktor Seib,3D Object Retrieval with Parametric Templates.
Norman Link,Efficient Filling of Disparity Holes Using Resolution Decoupling.
Norman Link,Person Re-Identification from Depth Cameras using Skeleton and 3D Face Data.
Norman Link,Semantic Correspondence Across 3D Models for Example-based Modeling.
Dietrich Paulus,Near-side prefetch throttling - adaptive prefetching for high-performance many-core processors.
Dietrich Paulus,Cost effective speculation with the omnipredictor.
Dietrich Paulus,Point-Cloud Shape Retrieval of Non-Rigid Toys.
Ioannis Pratikakis,Retrieval of Surfaces with Similar Relief Patterns.
Michalis A. Savelonas,Compiler assisted coalescing.
Michalis A. Savelonas,Engineering commitment-based business protocols with the 2CL methodology.
Michalis A. Savelonas,Edge-based LBP Description of Surfaces with Colorimetric Patterns.
Fotis Arnaoutoglou,Cimple - instruction and memory level parallelism - a DSL for uncovering ILP and MLP.
Fotis Arnaoutoglou,Automatic Location of Landmarks used in Manual Anthropometry.
Fotis Arnaoutoglou,Architectural support for convolutional neural networks on modern CPUs.
Fotis Arnaoutoglou,RGB-D to CAD Retrieval with ObjectNN Dataset.
Fotis Arnaoutoglou,A Framework Based on Compressed Manifold Modes for Robust Local Spectral Analysis.
George Ioannakis,Non-uniform resampling in perspective compensated large scale 3D visualization.
George Ioannakis,Retrieval of Objects Captured with Kinect One Camera.
George Ioannakis,Manifold Harmonic Transform and Spatial Relationships for Partial 3D Object Retrieval.
George Ioannakis,Data motifs - a lens towards fully understanding big data and AI workloads.
George Ioannakis,Partial 3D Object Retrieval combining Local Shape Descriptors with Global Fisher Vectors.
Anestis Koutsoudis,Retrieval of Surfaces with Similar Relief Patterns.
Anestis Koutsoudis,Sketch-based 3D Object Retrieval with Skeleton Line Views - Initial Results and Research Problems.
Anestis Koutsoudis,3D GrabCut - Interactive Foreground Extraction for Reconstructed 3D Scenes.
Anestis Koutsoudis,3D shape template generation from RGB-D images capturing a moving and deforming object.
Theoharis Theoharis,GSHOT - a Global Descriptor from SHOT to Reduce Time and Space Requirements.
Theoharis Theoharis,RETRIEVAL 3D - An On-line Content-Based Retrieval Performance Evaluation Tool.
Theoharis Theoharis,Temporal Ensemble of Shape Functions.
Theoharis Theoharis,"Crosstalk-included eye-diagram estimation for high-speed silicon, organic, and glass interposer channels on 2.5D/3D IC."
Minh-Triet Tran,RETRIEVAL 3D - An On-line Content-Based Retrieval Performance Evaluation Tool.
Minh-Triet Tran,3D GrabCut - Interactive Foreground Extraction for Reconstructed 3D Scenes.
Minh-Triet Tran,Protein Shape Retrieval.
Vinh-Tiep Nguyen,Retrieval of Gray Patterns Depicted on 3D Models.
Viet-Khoi Pham,2D Image-Based 3D Scene Retrieval.
Viet-Khoi Pham,Unstructured Point Cloud Semantic Labeling Using Deep Segmentation Networks.
Viet-Khoi Pham,Efficient Filling of Disparity Holes Using Resolution Decoupling.
Hai-Dang Nguyen,Partial Shape Queries for 3D Object Retrieval.
Hoang-An Le,Building an Initialization Cipher Block with Two-Dimensional Operation and Random Parameters.
Hoang-An Le,Indoor Location Retrieval using Shape Matching of KinectFusion Scans to Large-Scale Indoor Point Clouds.
Ba-Huu Tran,Energy-Efficient WiFi Offloading and Network Management in Heterogeneous Wireless Networks.
Ba-Huu Tran,Log(graph) - a near-optimal high-performance graph representation.
Ba-Huu Tran,A Descriptor for Voxel Shapes Based on the Skeleton Cut Space.
Huu-Quan To,Biased reference counting - minimizing atomic operations in garbage collection.
Huu-Quan To,Energy-Efficient Resource Allocation for Massive MIMO Amplify-and-Forward Relay Systems.
Huu-Quan To,3D Objects Exploration - Guidelines for Future Research.
Huu-Quan To,Cimple - instruction and memory level parallelism - a DSL for uncovering ILP and MLP.
Huu-Quan To,3D integration - Applications and market trends.
Minh-Bao Truong,An Edit Distance for Reeb Graphs.
Minh-Bao Truong,3D Object Retrieval with Parametric Templates.
